category,ds,y
Grains,2026-03-17,160
Grains,2026-03-18,153
Grains,2026-03-19,168
Grains,2026-03-20,190
Grains,2026-03-21,193
Grains,2026-03-22,197
Grains,2026-03-23,150
Grains,2026-03-24,147
Grains,2026-03-25,172
Grains,2026-03-26,164
Grains,2026-03-27,174
Grains,2026-03-28,192
Grains,2026-03-29,162
Grains,2026-03-30,169
Grains,2026-03-31,166
Grains,2026-04-01,149
Grains,2026-04-02,184
Grains,2026-04-03,168
Grains,2026-04-04,216
Grains,2026-04-05,215
Grains,2026-04-06,181
Dairy,2024-04-07,126
Dairy,2024-04-08,142
Dairy,2024-04-09,117
Dairy,2024-04-10,133
Dairy,2024-04-11,130
Dairy,2024-04-12,101
Dairy,2024-04-13,169
Dairy,2024-04-14,122
Dairy,2024-04-15,144
Dairy,2024-04-16,104
Dairy,2024-04-17,124
Dairy,2024-04-18,139
Dairy,2024-04-19,122
Dairy,2024-04-20,153
Dairy,2024-04-21,152
Dairy,2024-04-22,134
Dairy,2024-04-23,96
Dairy,2024-04-24,127
Dairy,2024-04-25,136
Dairy,2024-04-26,119
Dairy,2024-04-27,124
Dairy,2024-04-28,101
Dairy,2024-04-29,127
Dairy,2024-04-30,167
Dairy,2024-05-01,126
Dairy,2024-05-02,126
Dairy,2024-05-03,164
Dairy,2024-05-04,166
Dairy,2024-05-05,142
Dairy,2024-05-06,139
Dairy,2024-05-07,128
Dairy,2024-05-08,161
Dairy,2024-05-09,129
Dairy,2024-05-10,120
Dairy,2024-05-11,167
Dairy,2024-05-12,145
Dairy,2024-05-13,119
Dairy,2024-05-14,115
Dairy,2024-05-15,143
Dairy,2024-05-16,116
Dairy,2024-05-17,120
Dairy,2024-05-18,160
Dairy,2024-05-19,144
Dairy,2024-05-20,121
Dairy,2024-05-21,121
Dairy,2024-05-22,130
Dairy,2024-05-23,145
Dairy,2024-05-24,139
Dairy,2024-05-25,158
Dairy,2024-05-26,147
Dairy,2024-05-27,122
Dairy,2024-05-28,123
Dairy,2024-05-29,139
Dairy,2024-05-30,117
Dairy,2024-05-31,121
Dairy,2024-06-01,162
Dairy,2024-06-02,138
Dairy,2024-06-03,133
Dairy,2024-06-04,108
Dairy,2024-06-05,124
Dairy,2024-06-06,110
Dairy,2024-06-07,134
Dairy,2024-06-08,161
Dairy,2024-06-09,124
Dairy,2024-06-10,135
Dairy,2024-06-11,105
Dairy,2024-06-12,155
Dairy,2024-06-13,133
Dairy,2024-06-14,123
Dairy,2024-06-15,129
Dairy,2024-06-16,147
Dairy,2024-06-17,125
Dairy,2024-06-18,95
Dairy,2024-06-19,113
Dairy,2024-06-20,114
Dairy,2024-06-21,111
Dairy,2024-06-22,141
Dairy,2024-06-23,141
Dairy,2024-06-24,125
Dairy,2024-06-25,110
Dairy,2024-06-26,107
Dairy,2024-06-27,124
Dairy,2024-06-28,108
Dairy,2024-06-29,130
Dairy,2024-06-30,128
Dairy,2024-07-01,151
Dairy,2024-07-02,99
Dairy,2024-07-03,131
Dairy,2024-07-04,115
Dairy,2024-07-05,117
Dairy,2024-07-06,138
Dairy,2024-07-07,152
Dairy,2024-07-08,116
Dairy,2024-07-09,167
Dairy,2024-07-10,135
Dairy,2024-07-11,121
Dairy,2024-07-12,130
Dairy,2024-07-13,143
Dairy,2024-07-14,142
Dairy,2024-07-15,139
Dairy,2024-07-16,136
Dairy,2024-07-17,116
Dairy,2024-07-18,122
Dairy,2024-07-19,117
Dairy,2024-07-20,138
Dairy,2024-07-21,156
Dairy,2024-07-22,121
Dairy,2024-07-23,135
Dairy,2024-07-24,137
Dairy,2024-07-25,129
Dairy,2024-07-26,120
Dairy,2024-07-27,160
Dairy,2024-07-28,153
Dairy,2024-07-29,129
Dairy,2024-07-30,101
Dairy,2024-07-31,144
Dairy,2024-08-01,124
Dairy,2024-08-02,144
Dairy,2024-08-03,138
Dairy,2024-08-04,135
Dairy,2024-08-05,120
Dairy,2024-08-06,128
Dairy,2024-08-07,118
Dairy,2024-08-08,133
Dairy,2024-08-09,141
Dairy,2024-08-10,155
Dairy,2024-08-11,164
Dairy,2024-08-12,143
Dairy,2024-08-13,124
Dairy,2024-08-14,125
Dairy,2024-08-15,112
Dairy,2024-08-16,143
Dairy,2024-08-17,146
Dairy,2024-08-18,135
Dairy,2024-08-19,120
Dairy,2024-08-20,123
Dairy,2024-08-21,144
Dairy,2024-08-22,134
Dairy,2024-08-23,126
Dairy,2024-08-24,157
Dairy,2024-08-25,170
Dairy,2024-08-26,148
Dairy,2024-08-27,130
Dairy,2024-08-28,105
Dairy,2024-08-29,107
Dairy,2024-08-30,113
Dairy,2024-08-31,182
Dairy,2024-09-01,144
Dairy,2024-09-02,129
Dairy,2024-09-03,147
Dairy,2024-09-04,118
Dairy,2024-09-05,129
Dairy,2024-09-06,135
Dairy,2024-09-07,118
Dairy,2024-09-08,141
Dairy,2024-09-09,149
Dairy,2024-09-10,116
Dairy,2024-09-11,113
Dairy,2024-09-12,120
Dairy,2024-09-13,140
Dairy,2024-09-14,176
Dairy,2024-09-15,155
Dairy,2024-09-16,102
Dairy,2024-09-17,125
Dairy,2024-09-18,130
Dairy,2024-09-19,132
Dairy,2024-09-20,147
Dairy,2024-09-21,141
Dairy,2024-09-22,143
Dairy,2024-09-23,135
Dairy,2024-09-24,126
Dairy,2024-09-25,130
Dairy,2024-09-26,150
Dairy,2024-09-27,108
Dairy,2024-09-28,158
Dairy,2024-09-29,146
Dairy,2024-09-30,136
Dairy,2024-10-01,143
Dairy,2024-10-02,132
Dairy,2024-10-03,147
Dairy,2024-10-04,178
Dairy,2024-10-05,153
Dairy,2024-10-06,150
Dairy,2024-10-07,149
Dairy,2024-10-08,95
Dairy,2024-10-09,119
Dairy,2024-10-10,127
Dairy,2024-10-11,152
Dairy,2024-10-12,148
Dairy,2024-10-13,140
Dairy,2024-10-14,122
Dairy,2024-10-15,161
Dairy,2024-10-16,94
Dairy,2024-10-17,130
Dairy,2024-10-18,133
Dairy,2024-10-19,130
Dairy,2024-10-20,125
Dairy,2024-10-21,137
Dairy,2024-10-22,130
Dairy,2024-10-23,115
Dairy,2024-10-24,119
Dairy,2024-10-25,135
Dairy,2024-10-26,141
Dairy,2024-10-27,145
Dairy,2024-10-28,125
Dairy,2024-10-29,129
Dairy,2024-10-30,121
Dairy,2024-10-31,137
Dairy,2024-11-01,152
Dairy,2024-11-02,156
Dairy,2024-11-03,152
Dairy,2024-11-04,124
Dairy,2024-11-05,122
Dairy,2024-11-06,125
Dairy,2024-11-07,141
Dairy,2024-11-08,122
Dairy,2024-11-09,152
Dairy,2024-11-10,147
Dairy,2024-11-11,130
Dairy,2024-11-12,147
Dairy,2024-11-13,116
Dairy,2024-11-14,98
Dairy,2024-11-15,145
Dairy,2024-11-16,149
Dairy,2024-11-17,163
Dairy,2024-11-18,134
Dairy,2024-11-19,134
Dairy,2024-11-20,136
Dairy,2024-11-21,152
Dairy,2024-11-22,130
Dairy,2024-11-23,168
Dairy,2024-11-24,138
Dairy,2024-11-25,116
Dairy,2024-11-26,114
Dairy,2024-11-27,126
Dairy,2024-11-28,140
Dairy,2024-11-29,135
Dairy,2024-11-30,152
Dairy,2024-12-01,132
Dairy,2024-12-02,124
Dairy,2024-12-03,132
Dairy,2024-12-04,124
Dairy,2024-12-05,130
Dairy,2024-12-06,140
Dairy,2024-12-07,118
Dairy,2024-12-08,151
Dairy,2024-12-09,126
Dairy,2024-12-10,156
Dairy,2024-12-11,134
Dairy,2024-12-12,134
Dairy,2024-12-13,107
Dairy,2024-12-14,141
Dairy,2024-12-15,147
Dairy,2024-12-16,119
Dairy,2024-12-17,128
Dairy,2024-12-18,118
Dairy,2024-12-19,179
Dairy,2024-12-20,126
Dairy,2024-12-21,161
Dairy,2024-12-22,136
Dairy,2024-12-23,119
Dairy,2024-12-24,129
Dairy,2024-12-25,132
Dairy,2024-12-26,118
Dairy,2024-12-27,117
Dairy,2024-12-28,140
Dairy,2024-12-29,157
Dairy,2024-12-30,139
Dairy,2024-12-31,127
Dairy,2025-01-01,122
Dairy,2025-01-02,132
Dairy,2025-01-03,135
Dairy,2025-01-04,170
Dairy,2025-01-05,166
Dairy,2025-01-06,126
Dairy,2025-01-07,105
Dairy,2025-01-08,89
Dairy,2025-01-09,163
Dairy,2025-01-10,132
Dairy,2025-01-11,172
Dairy,2025-01-12,152
Dairy,2025-01-13,155
Dairy,2025-01-14,148
Dairy,2025-01-15,139
Dairy,2025-01-16,134
Dairy,2025-01-17,126
Dairy,2025-01-18,164
Dairy,2025-01-19,112
Dairy,2025-01-20,159
Dairy,2025-01-21,118
Dairy,2025-01-22,100
Dairy,2025-01-23,157
Dairy,2025-01-24,164
Dairy,2025-01-25,153
Dairy,2025-01-26,143
Dairy,2025-01-27,142
Dairy,2025-01-28,96
Dairy,2025-01-29,118
Dairy,2025-01-30,151
Dairy,2025-01-31,112
Dairy,2025-02-01,153
Dairy,2025-02-02,174
Dairy,2025-02-03,141
Dairy,2025-02-04,152
Dairy,2025-02-05,134
Dairy,2025-02-06,142
Dairy,2025-02-07,137
Dairy,2025-02-08,146
Dairy,2025-02-09,160
Dairy,2025-02-10,138
Dairy,2025-02-11,146
Dairy,2025-02-12,146
Dairy,2025-02-13,137
Dairy,2025-02-14,123
Dairy,2025-02-15,170
Dairy,2025-02-16,143
Dairy,2025-02-17,120
Dairy,2025-02-18,110
Dairy,2025-02-19,135
Dairy,2025-02-20,150
Dairy,2025-02-21,127
